Project,ValgT,ValgT (online),ValgT (offline)
,red_traces,red_traces,red_traces
xeger,919225,6370406,5106572
javadbf,7852,6250,14726
QLExpress,2682996,13370059,4368956
stringsearchalgorithms,303669,299493,335336
almson-refcount,6500,10953,14723
jackson-antpathfilter,480167,1381562,578266
asterisk-java,20058,34108,45429
attoparser,12760316,10132990,12342507
route53-infima,590564,812599,905344
SparseBitSet,43872,48957,34896
choco-graph,718751,1320773,1290466
java-concurrent-hash-trie-map,10338,10333,53003
time-series-math,73362,692894,692987
gramtest,897038,5391267,3790834
osm-lib,723815,4045560,717369
java-uuid-generator,62818,270080,130369
dictomaton,5545855,8798698,10585020
bplustree,171277,207608,179563
rtree,1613578,1399581,1446724
rtree-multi,835273,1847793,5573858
rtree2,698180,2866415,7192930
jpoker,114002,116513,115641
cassette-nibbler,312691,403564,335399
java-vector-tile,1524937,4180706,4234751
uuid-creator,97146,207806,95141
databuilderframework,2523509,5144810,8242401
Fuzzino,111154,198651,142055
JaroWinklerSimilarity,4117919,31110673,29484658
progex,1235530,3907428,5079806
ASM-NonClassloadingExtensions,3425820,3440050,3719874
jlemmagen,75996,153114,139969
sensitive-word,306352,1055829,2743252
jieba-analysis,757102,1921224,4979732
vowpal-wabbit-java,550262,705671,780298
kiara,248875,870935,781685
consistent-hash-algorithm,25217,25098,48988
AnomalyDetectTool,37519,10175,41801
geogrid,200487,543890,1392554
btree4j,59244,191417,104614
ik-analyzer,895306,546371,1756322
java.math.expression.parser,160664,160420,160412
functional-utils,1792,8914,7714
TurkishPropBank,155257,206515,205637
TurkishSentiNet,20033,20036,20032
Jaba,2573144,8578106,6610750
ef-redis,40086,40095,40039
PointCloudUtilities,250835,90610,164696
jcunit,8550226,9623778,31102400
finmath-lib,5510303,5203762,5328065
TurkishDeasciifier,594758,704050,623093
TurkishSpellChecker,2318029,3011905,4071975
java-future-jdk8,24893,0,44616
jackson-core,1029079,1087885,1010495
cocolian-nlp,928583,5861080,6356113
pgs-calc,846816,18659832,3439731
