Project, Locations, D1-Pairs, Q1-Pairs, Q2-Pairs, Q3-Pairs, Q4-Pairs, Total-Pairs, Avg.Dist
ASM-NonClassloadingExtensions, 530, 19254, 16830, 4884, 236, 89, 41293, 122.3283
AnomalyDetectTool, 58, 512, 78, 24, 10, 1, 625, 95.2032
Fuzzino, 1233, 3099, 1826, 797, 36, 8, 5766, 9.5274
Jaba, 112, 379, 581, 632, 2036, 1226, 4854, 2008.9011
JaroWinklerSimilarity, 166, 1223, 1854, 2387, 2837, 2175, 10476, 5188.6398
PointCloudUtilities, 436, 39248, 1988, 585, 144, 28, 41993, 6.8117
QLExpress, 858, 130480, 2141, 874, 131, 72, 133698, 53.6449
SparseBitSet, 17, 19932, 1299, 214, 12, 0, 21457, 1.4108
TurkishDeasciifier, 178, 627, 1035, 1724, 1591, 13, 4990, 123.0790
TurkishMorphologicalDisambiguation, 384, 15232, 9222, 2579, 716, 142, 27891, 177.3224
TurkishPropBank, 34, 3, 13, 8, 21, 14, 59, 19828.0678
TurkishSentiNet, 25, 6, 0, 0, 0, 0, 6, 1.0000
TurkishSpellChecker, 395, 14171, 8576, 3943, 1416, 47, 28153, 86.0899
almson-refcount, 23, 0, 1, 0, 0, 0, 1, 2.0000
asterisk-java, 1237, 2119, 880, 214, 27, 3, 3243, 5.6559
attoparser, 239, 71, 125, 81, 9, 459, 745, 213283.6792
bplustree, 98, 32, 41, 9, 7, 2, 91, 113.0110
btree4j, 100, 43, 1130, 163, 48, 13, 1397, 166.6099
cassette-nibbler, 222, 16760, 3748, 688, 63, 2, 21261, 2.9386
choco-graph, 238, 9852, 1070, 487, 319, 438, 12166, 846.6340
cocolian-nlp, 361, 11413, 15850, 5134, 1208, 199, 33804, 113.8272
consistent-hash-algorithm, 24, 0, 0, 0, 0, 3, 3, 10001.0000
databuilderframework, 394, 401, 343, 210, 45, 59, 1058, 16394.1739
dictomaton, 482, 7934, 4292, 993, 108, 33, 13360, 486.8416
ef-redis, 63, 9, 3, 2, 0, 0, 14, 2.8571
finmath-lib, 4003, 2294, 577, 103, 51, 20, 3045, 587.5524
functional-utils, 150, 249, 451, 45, 25, 0, 770, 6.7883
geogrid, 29, 3, 15, 15, 0, 0, 33, 11.4545
gramtest, 141, 237, 152, 182, 340, 148, 1059, 10001.7743
ik-analyzer, 102, 401, 319, 74, 26, 0, 820, 11.8707
jackcess, 2068, 45724, 6385, 1511, 857, 160, 54637, 226.3424
jackson-antpathfilter, 173, 67, 20, 85, 3, 87, 262, 21058.3015
jackson-core, 1420, 1061, 179, 79, 23, 7, 1349, 80.7168
java-concurrent-hash-trie-map, 81, 2132, 102, 2, 3, 0, 2239, 1.9723
java-future-jdk8, 116, 5, 0, 0, 0, 0, 5, 1.0000
java-uuid-generator, 119, 1, 0, 0, 0, 0, 1, 1.0000
java-vector-tile, 443, 1051, 869, 229, 68, 28, 2245, 4985.6967
java.math.expression.parser, 127, 2, 0, 6, 0, 0, 8, 16.7500
javadbf, 146, 51, 47, 22, 5, 0, 125, 19.9920
jcunit, 475, 5174, 841, 501, 325, 257, 7098, 14576.2229
jieba-analysis, 69, 276, 250, 176, 271, 50, 1023, 2553.2131
jlemmagen, 61, 1392, 141, 382, 108, 4, 2027, 20.2116
jpoker, 431, 1275, 7, 4, 0, 0, 1286, 1.0684
kiara, 621, 12331, 75137, 16255, 275, 83, 104081, 16.0595
orientdb-jdbc, 1260, 811943, 36779, 3116, 571, 167, 852576, 19.3969
osm-lib, 337, 1215, 786, 731, 323, 113, 3168, 1956.4602
pgs-calc, 1056, 5159, 745, 461, 225, 116, 6706, 5383.0477
progex, 1214, 31077, 6587, 1843, 632, 176, 40315, 154.8260
route53-infima, 224, 206, 277, 60, 15, 35, 593, 7182.6105
rtree-multi, 654, 23718, 9910, 3806, 610, 109, 38153, 249.0463
rtree2, 650, 408, 415, 158, 100, 81, 1162, 6664.9243
rtree, 716, 436, 742, 756, 101, 74, 2109, 3381.8193
sensitive-word, 71, 62, 63, 63, 36, 13, 237, 7428.0886
stringsearchalgorithms, 524, 1793, 1545, 773, 187, 20, 4318, 445.7499
time-series-math, 525, 491, 535419, 5938, 46, 0, 541894, 2.2170
uuid-creator, 166, 20, 12, 4, 0, 0, 36, 2.5556
vowpal-wabbit-java, 157, 58, 34, 0, 0, 25, 117, 461957.7607
xeger, 153, 1679, 446, 69, 4, 79, 2277, 1078.4128
