project,baseUniq,baseRed,minSumUniq,maxSumUniq,minSumRed,maxSumRed
ASM-NonClassloadingExtensions,41823,32039262,4762,41311,329281,947500
AnomalyDetectTool,678,1322398,634,662,37230,38180
Fuzzino,6999,496535,5915,6374,107794,114663
Jaba,4966,22127173,480,1215,883151,1653099
JaroWinklerSimilarity,11520,137413219,4808,8723,18342317,22391523
PointCloudUtilities,42099,6711271,40858,41103,242729,245072
QLExpress,134555,66766036,129514,133560,2319511,3765292
SparseBitSet,21453,139049,21452,21453,43596,44178
TurkishDeasciifier,5382,1507014,2722,4231,351650,718100
TurkishMorphologicalDisambiguation,27743,13401078,25423,27312,11190967,11531723
TurkishPropBank,93,36922423,49,58,113698,114208
TurkishSentiNet,31,63329640,31,31,20027,20036
TurkishSpellChecker,28155,24513935,23322,27163,2232378,3994061
TurkishWordNet,867,2263816,222,535,112835,1874382
almson-refcount,24,5000206,24,24,10023,10093
asterisk-java,4464,146764,3970,4328,12733,22473
attoparser,984,219115697,308,410,341412,483307
bplustree,189,63526854,157,175,121011,123303
btree4j,1543,40364908,179,210,58291,59998
cassette-nibbler,27195,189018447,27170,27192,290343,292929
choco-graph,12375,15157156,9256,11172,111391,368933
cocolian-nlp,32407,25082518,23016,27106,1444333,1753898
consistent-hash-algorithm,27,56100189,24,24,24847,25179
databuilderframework,1452,52032919,814,1102,862196,2677389
dictomaton,13843,42753703,11376,11731,633462,868080
ef-redis,77,40000094,68,77,40029,40098
finmath-lib,7040,306152167,6459,6665,14354274,14429089
functional-utils,920,8975,323,531,942,2436
geogrid,62,4000514,31,45,99143,181229
gramtest,1239,25601611,467,576,565496,747525
ik-analyzer,922,28816137,727,788,654773,716485
jackcess,20612,1098486,16152,18337,88149,109616
jackson-antpathfilter,434,10689731,267,376,449479,533831
jackson-core,2774,28554865,2511,2632,217376,226556
java-concurrent-hash-trie-map,2270,319262,2160,2191,15736,16425
java-future-jdk8,121,500012,121,121,24880,25449
java-uuid-generator,128,20836476,128,128,61608,63859
java-vector-tile,2688,15226747,1319,1906,430706,524907
java.math.expression.parser,135,328001737,129,135,160301,160813
javadbf,271,137313,201,233,7051,7770
jcunit,7573,143972458,6095,6505,435373,630684
jieba-analysis,1092,18907383,290,968,463592,1448115
jlemmagen,2096,1258470,569,1759,60947,68953
jpoker,1717,96170771,1705,1717,112782,114888
kiara,104716,8799383,15130,15829,213309,230118
orientdb-jdbc,819676,5657548,817470,818572,1315487,1431227
osm-lib,3500,16882324,2806,3168,907362,945682
pgs-calc,7733,55081234,2930,3440,350530,498420
progex,42593,20450296,34071,36198,1088088,1299067
route53-infima,799,7106115,481,715,307110,565776
rtree,2828,32950795,1268,1645,456492,11921311
rtree-multi,38934,19933276,6340,7729,2816116,2960844
rtree2,1810,16291223,1111,1310,2498960,2559054
sensitive-word,308,99408930,142,206,248267,297092
simplexml,2050772,13223164,276047,277662,5083838,5119074
stringsearchalgorithms,4841,71159740,2236,3581,156262,219989
time-series-math,542419,752896,28892,29992,66937,76804
uuid-creator,202,568664,193,199,28808,32056
vowpal-wabbit-java,274,287480885,202,214,470148,490381
xeger,1918,15782973,1430,1684,928843,1169944
